City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Homer,US,59.6425,-151.5483,39.2,87,90,9.22,1618445448
Alofi,NU,-19.0595,-169.9187,80.6,69,40,5.75,1618445448
Hilton Head,US,32.2163,-80.7526,71.01,83,1,11.5,1618445441
Mehamn,NO,71.0357,27.8492,32.0,74,40,19.57,1618445449
Aban,RU,56.67,96.06,27.07,89,95,11.3,1618445449
Olden,NO,61.8364,6.8064,35.01,83,29,6.04,1618445449
Grindavik,IS,63.8424,-22.4338,44.6,93,90,19.57,1618445450
Great Yarmouth,GB,52.6083,1.7305,37.99,80,19,4.61,1618445450
Geraldton,AU,-28.7667,114.6,62.6,59,0,17.27,1618445451
Busselton,AU,-33.65,115.3333,62.58,65,98,3.67,1618445451
Lelystad,NL,52.5083,5.475,41.0,76,84,1.99,1618445451
Henties Bay,NA,-22.116,14.2845,78.01,38,0,1.01,1618445452
Kaitangata,NZ,-46.2817,169.8464,62.01,72,80,7.0,1618445452
Mount Gambier,AU,-37.8333,140.7667,57.2,72,90,8.05,1618445434
Ilulissat,GL,69.2167,-51.1,15.8,67,75,19.57,1618445453
Avarua,CK,-21.2078,-159.775,82.4,69,20,6.91,1618445387
Tougan,BF,13.0667,-3.0667,87.94,20,75,7.81,1618445453
Boende,CD,-0.2167,20.8667,70.29,98,52,2.98,1618445454
Roald,NO,62.5833,6.1333,39.2,75,90,8.05,1618445454
Cabo San Lucas,MX,22.8909,-109.9124,86.0,26,1,4.61,1618445248
Makkah al Mukarramah,SA,21.4267,39.8261,78.03,40,100,3.44,1618445454
Vanimo,PG,-2.6741,141.3028,79.25,83,100,4.09,1618445455
Rocha,UY,-34.4833,-54.3333,58.32,94,6,6.26,1618445426
Barrow,US,71.2906,-156.7887,15.8,73,1,14.97,1618445331
Yulara,AU,-25.2406,130.9889,64.4,55,75,10.36,1618445455
Chihuahua,MX,28.5,-106.0,89.6,6,75,3.44,1618445354
Kralendijk,BQ,12.15,-68.2667,80.6,89,97,13.8,1618445456
Mar del Plata,AR,-38.0023,-57.5575,66.99,34,0,8.99,1618445456
Mahébourg,MU,-20.4081,57.7,78.8,83,40,11.5,1618445457
Mataura,NZ,-46.1927,168.8643,60.01,77,57,3.0,1618445457
Znamenskoye,RU,57.1281,73.8282,40.37,99,97,5.28,1618445457
Pevek,RU,69.7008,170.3133,3.49,74,29,4.34,1618445458
Vágur,FO,61.4732,-6.8119,44.49,88,100,15.82,1618445172
Longyearbyen,SJ,78.2186,15.6401,6.8,56,75,13.8,1618445458
Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,90,6.91,1618445458
Cabinda,AO,-5.55,12.2,80.2,84,92,3.91,1618445459
Smoky Lake,CA,54.1169,-112.4686,57.2,19,69,1.14,1618445459
Ribeira Grande,PT,38.5167,-28.7,61.84,89,76,7.02,1618445460
Leningradskiy,RU,69.3833,178.4167,13.32,88,93,5.26,1618445460
Luanda,AO,-8.8368,13.2343,80.6,83,75,4.61,1618445460
Hermanus,ZA,-34.4187,19.2345,64.0,89,32,1.99,1618445461
Poya,NC,-21.35,165.15,81.23,76,57,4.76,1618445461
Ahipara,NZ,-35.1667,173.1667,65.39,65,58,11.74,1618445461
Marawi,PH,7.9986,124.2928,82.0,80,100,3.0,1618445462
Khatanga,RU,71.9667,102.5,-11.96,97,41,8.61,1618445462
Chokurdakh,RU,70.6333,147.9167,4.86,87,65,5.57,1618445462
Zaysan,KZ,47.4667,84.8667,41.32,43,51,2.77,1618445422
Guerrero Negro,MX,27.9769,-114.0611,62.42,64,64,20.27,1618445463
Kavaratti,IN,10.5669,72.642,83.1,69,5,2.37,1618445463
Upernavik,GL,72.7868,-56.1549,-10.1,99,97,4.94,1618445398
Butaritari,KI,3.0707,172.7902,81.39,78,86,7.54,1618445464
Aswān,EG,24.0934,32.907,74.28,18,0,9.46,1618445464
Atuona,PF,-9.8,-139.0333,80.94,73,58,19.51,1618445464
Port Elizabeth,ZA,-33.918,25.5701,59.0,100,20,4.61,1618445222
La Seyne-sur-Mer,FR,43.0982,5.8847,50.0,78,10,1.99,1618445465
Kiryat Gat,IL,31.61,34.7642,57.0,66,95,2.53,1618445465
Lebu,CL,-37.6167,-73.65,56.34,92,66,4.9,1618445465
Constitución,CL,-35.3333,-72.4167,56.07,92,25,10.54,1618445456
Severo-Kuril'sk,RU,50.6789,156.125,39.36,92,100,22.15,1618445466
Lydenburg,ZA,-25.0978,30.4597,50.0,40,2,1.79,1618445466
Talnakh,RU,69.4865,88.3972,6.01,95,100,6.89,1618445227
Saskylakh,RU,71.9167,114.0833,-1.66,95,63,4.03,1618445467
Lagoa,PT,39.05,-27.9833,60.85,87,91,10.8,1618445467
São João da Barra,BR,-21.6403,-41.0511,71.33,74,21,10.51,1618445268
Vardø,NO,70.3705,31.1107,32.68,75,50,32.41,1618445468
Sambava,MG,-14.2667,50.1667,74.25,90,78,5.53,1618445468
Yelovo,RU,57.0538,54.9207,45.86,84,31,7.29,1618445468
Srednekolymsk,RU,67.45,153.6833,12.9,71,18,5.35,1618445469
Oriximiná,BR,-1.7656,-55.8661,77.85,86,97,2.55,1618445469
Port Lincoln,AU,-34.7333,135.8667,64.35,54,82,9.04,1618445469
Aksarayskiy,RU,46.7924,48.0119,60.8,36,0,13.42,1618445470
Yellowknife,CA,62.456,-114.3525,42.8,39,1,5.75,1618445470
La Massana,AD,42.5667,1.4833,45.0,29,71,0.58,1618445470
Saint-Augustin,CA,51.226,-58.6502,37.2,62,0,3.94,1618445471
Campbell River,CA,50.0163,-125.2446,71.6,15,20,6.91,1618445318
Mana,GF,5.6592,-53.7767,78.46,90,85,8.48,1618445471
Ballina,AU,-28.8667,153.5667,73.4,60,0,2.3,1618445472
Luena,AO,-11.7833,19.9167,61.11,95,90,3.0,1618445472
San Cristobal,VE,7.7669,-72.225,82.4,74,40,4.61,1618445472
Emerald,AU,-23.5333,148.1667,75.99,56,1,8.05,1618445473
Nador,MA,35.174,-2.9287,57.2,94,90,6.91,1618445219
Lākshām,BD,23.2472,91.1425,75.83,94,80,5.61,1618445473
Padang,ID,-0.9492,100.3543,77.95,86,99,3.36,1618445474
Quang Ngai,VN,15.1167,108.8,76.46,80,89,3.02,1618445474
Yarmouth,US,41.7057,-70.2286,46.99,76,1,3.44,1618445474
Nanlong,CN,31.3533,106.0631,57.54,86,100,3.31,1618445475
Kumul,CN,42.8,93.45,45.72,17,0,12.37,1618445475
San Joaquin,US,37.9333,-121.3011,73.99,30,1,10.36,1618445475
Ust-Nera,RU,64.5667,143.2,3.43,83,91,4.63,1618445476
Kruisfontein,ZA,-34.0033,24.7314,59.0,96,60,1.01,1618445476
Airai,TL,-8.9266,125.4092,66.34,51,39,3.15,1618445476
Namtsy,RU,62.7161,129.6658,10.4,67,0,2.24,1618445477
Nanortalik,GL,60.1432,-45.2371,33.1,89,22,12.46,1618445477
Bredasdorp,ZA,-34.5322,20.0403,51.8,93,8,2.3,1618445477
Katsuura,JP,35.1333,140.3,53.01,40,77,18.97,1618445478
Banjar,ID,-8.19,114.9675,78.8,89,75,6.91,1618445478
Torbay,CA,47.6666,-52.7314,33.01,93,90,11.5,1618445370
Bengkulu,ID,-3.8004,102.2655,75.09,88,82,4.14,1618445479
Yumen,CN,40.2833,97.2,36.34,17,23,11.36,1618445479
Edgewater,US,28.9889,-80.9023,73.4,73,1,10.36,1618445479
Mossamedes,AO,-15.1961,12.1522,80.51,73,47,2.04,1618445480
Morón,AR,-34.6534,-58.6198,69.01,72,1,5.03,1618445480
Fairbanks,US,64.8378,-147.7164,48.2,46,90,8.05,1618445296
Tautira,PF,-17.7333,-149.15,84.2,74,90,8.05,1618445481
Matagami,CA,49.7502,-77.6328,50.0,87,75,2.3,1618445481
Jasper,US,37.2001,-94.3502,57.99,44,1,8.05,1618445481
Qaanaaq,GL,77.484,-69.3632,-11.2,67,0,6.06,1618445482
Nelson Bay,AU,-32.7167,152.15,73.99,43,0,6.91,1618445482
Marzuq,YE,14.4,46.4667,67.21,60,6,5.19,1618445482
Vaitape,PF,-16.5167,-151.75,81.99,73,100,11.97,1618445483
Peniche,PT,39.3558,-9.3811,61.0,92,100,5.99,1618445483
Paidha,UG,2.4167,30.9855,63.03,84,70,4.12,1618445484
Shirokiy,RU,49.758,129.523,33.96,42,34,3.58,1618445484
Codrington,AU,-38.2667,141.9667,58.35,73,82,14.47,1618445484
Chumikan,RU,54.7183,135.315,26.08,74,100,17.05,1618445485
Mitsamiouli,KM,-11.3847,43.2844,81.32,71,100,5.61,1618445485
Sarakhs,IR,36.5449,61.1577,57.2,44,6,4.5,1618445485
Kaka,TM,37.3482,59.6143,59.47,31,32,5.84,1618445486
San Juan Bautista,PE,-14.0108,-75.7358,66.2,82,0,12.66,1618445486
Lompoc,US,34.6391,-120.4579,59.0,55,78,12.66,1618445486
Koumac,NC,-20.5667,164.2833,76.59,88,90,7.72,1618445487
Cape Town,ZA,-33.9258,18.4232,63.0,88,0,6.91,1618445487
Xining,CN,36.6167,101.7667,38.37,53,95,0.2,1618445487
Clyde River,CA,70.4692,-68.5914,-5.8,84,1,16.11,1618445488
Warrington,GB,53.3925,-2.5802,42.8,65,0,4.61,1618445371
Saint Paul Harbor,US,57.79,-152.4072,44.6,61,90,5.75,1618445394
Kawalu,ID,-7.3817,108.2082,74.08,91,90,1.03,1618445489
Castro,BR,-24.7911,-50.0119,56.7,86,99,7.85,1618445489
Bakchar,RU,57.0186,82.0711,35.4,99,100,3.15,1618445489
Nishihara,JP,26.1842,127.7558,68.0,77,90,6.91,1618445490
Saint-François,FR,46.4154,3.9054,32.0,69,0,1.14,1618445490
Namatanai,PG,-3.6667,152.4333,84.02,68,72,4.09,1618445490
Gashua,NG,12.871,11.0482,81.73,6,13,6.64,1618445491
Korla,CN,41.7597,86.1469,55.0,30,10,7.29,1618445491
Provideniya,RU,64.3833,-173.3,19.4,68,0,6.71,1618445491
Coffeyville,US,37.0373,-95.6164,60.8,36,1,13.8,1618445492
Bydgoszcz,PL,53.1235,18.0076,39.99,81,20,9.22,1618445492
Ust-Kuyga,RU,70.0167,135.6,8.19,88,39,3.85,1618445493
Rūdbār,AF,30.15,62.6,69.53,42,61,3.0,1618445493
Hobyo,SO,5.3505,48.5268,81.36,67,96,11.14,1618445494
Goderich,CA,43.7501,-81.7165,41.0,65,89,9.22,1618445494
Ponta do Sol,PT,32.6667,-17.1,64.4,72,20,4.61,1618445494
Hong Kong,HK,22.2855,114.1577,73.0,90,97,1.01,1618445228
Tezu,IN,27.9167,96.1667,73.72,37,20,4.43,1618445495
George Town,MY,5.4112,100.3354,79.0,88,20,1.14,1618445420
Alta Floresta,BR,-9.8756,-56.0861,72.37,93,98,1.45,1618445495
Husavik,IS,66.0449,-17.3389,41.0,70,75,6.91,1618445495
Half Moon Bay,US,37.4636,-122.4286,64.99,76,1,4.61,1618445496
Zyryanka,RU,65.75,150.85,5.97,84,89,3.89,1618445496
Kyzyl-Suu,KG,42.3414,78.0056,44.06,47,35,7.36,1618445497
Norman Wells,CA,65.282,-126.8329,44.6,45,75,20.71,1618445497
Bartica,GY,6.4,-58.6167,77.0,94,20,4.61,1618445497
Beringovskiy,RU,63.05,179.3167,14.49,73,15,1.88,1618445498
College,US,64.8569,-147.8028,48.2,40,75,5.7,1618445498
Pangnirtung,CA,66.1451,-65.7125,-8.66,99,99,4.29,1618445498
Ostrovnoy,RU,68.0531,39.5131,27.46,81,72,28.48,1618445499
Port-Gentil,GA,-0.7193,8.7815,80.6,89,40,4.61,1618445499
Ligayan,PH,4.6533,119.4706,81.54,78,56,9.75,1618445499
Zigong,CN,29.3416,104.7769,59.07,89,100,6.04,1618445500
Thompson,CA,55.7435,-97.8558,39.2,20,40,3.44,1618445500
Narsaq,GL,60.9167,-46.05,33.8,75,40,2.3,1618445500
Adré,TD,13.4667,22.2,74.84,10,71,13.31,1618445501
Pullman,US,46.7313,-117.1796,62.6,20,1,17.27,1618445501
Ariquemes,BR,-9.9133,-63.0408,74.05,95,87,1.1,1618445476
Saint-Philippe,RE,-21.3585,55.7679,77.0,73,100,6.91,1618445501
Preobrazheniye,RU,42.9019,133.9064,43.79,41,0,6.2,1618445502
Kilembe,UG,0.2,30.0,62.17,80,98,3.44,1618445502
Cockburn Town,TC,21.4612,-71.1419,75.2,60,20,13.8,1618445503
Grand Gaube,MU,-20.0064,57.6608,75.99,86,85,1.01,1618445503
Pollachi,IN,10.6667,77.0167,71.6,94,75,3.44,1618445300
Faya,SA,18.3851,42.4509,64.4,55,0,2.53,1618445504
Maralal,KE,1.0968,36.698,59.9,72,75,4.79,1618445504
Labuhan,ID,-6.8844,112.2051,78.48,83,84,7.56,1618445504
Gazojak,TM,41.1875,61.4036,59.85,34,0,8.14,1618445505
Novo Aripuanã,BR,-5.1206,-60.3797,75.07,97,100,1.99,1618445505
Boden,SE,65.8252,21.6886,30.2,64,31,8.05,1618445505
Evensk,RU,61.95,159.2333,17.71,81,100,14.92,1618445506
Wewak,PG,-3.5534,143.6268,80.2,83,91,4.99,1618445506
Mbumi,TZ,-7.9058,39.2105,72.1,98,100,2.91,1618445506
Tazovsky,RU,67.4667,78.7,32.58,99,100,14.03,1618445507
Iqaluit,CA,63.7506,-68.5145,3.2,66,1,20.71,1618445507
Cherskiy,RU,68.75,161.3,14.4,67,32,4.74,1618445507
Ketchikan,US,55.3422,-131.6461,53.6,58,1,9.22,1618445508
Valle Hermoso,MX,25.6667,-97.8333,84.2,74,40,18.41,1618445508
Sal Rei,CV,16.1833,-22.9167,69.8,83,0,14.97,1618445508
Faanui,PF,-16.4833,-151.75,81.99,73,100,11.99,1618445509
Yakeshi,CN,49.2833,120.7333,34.03,52,88,6.06,1618445509
Pozo Colorado,PY,-23.4923,-58.7972,79.36,52,31,5.66,1618445509
Lavrentiya,RU,65.5833,-171.0,28.96,93,100,2.1,1618445510
Hithadhoo,MV,-0.6,73.0833,81.7,68,41,2.01,1618445510
Santa Rosalía,MX,27.3167,-112.2833,77.74,32,80,3.71,1618445510
Belyy Yar,RU,53.6039,91.3903,41.0,60,40,8.95,1618445511
Kahului,US,20.8947,-156.47,80.6,50,40,17.27,1618445311
Camacha,PT,33.0833,-16.3333,62.6,82,40,10.36,1618445511
Pokhara,NP,28.2333,83.9833,69.76,18,4,7.92,1618445511
Charters Towers,AU,-20.1,146.2667,77.54,38,7,8.39,1618445512
Lüderitz,NA,-26.6481,15.1594,74.73,33,0,5.08,1618445512
Sayyan,YE,15.1718,44.3244,58.6,49,3,2.24,1618445513
New Norfolk,AU,-42.7826,147.0587,51.01,70,82,8.01,1618445513
Wanlaweyn,SO,2.6185,44.8938,80.17,72,49,7.49,1618445513
Barão de Melgaço,BR,-16.1944,-55.9675,77.0,73,0,3.44,1618445514
Raudeberg,NO,61.9875,5.1352,41.0,85,19,6.04,1618445514
Hoa Binh,VN,20.8133,105.3383,77.0,94,75,6.91,1618445272
Buala,SB,-8.145,159.5921,85.32,67,63,3.78,1618445514
Koshurnikovo,RU,54.1667,93.3,27.1,95,96,3.83,1618445515
Ouégoa,NC,-20.35,164.4333,77.94,87,92,3.91,1618445515
Iquitos,PE,-3.7481,-73.2472,78.8,89,40,3.44,1618445516
Mareeba,AU,-17.0,145.4333,84.99,69,40,10.36,1618445516
Tolo,GR,37.5202,22.8586,55.99,60,42,5.53,1618445516
Zeya,RU,53.75,127.2667,28.65,61,45,2.48,1618445517
Skellefteå,SE,64.7507,20.9528,26.6,74,15,4.61,1618445517
Puerto Cabezas,NI,14.0351,-83.3888,84.2,79,75,6.91,1618445517
Wawa,NG,9.9022,4.4192,86.79,33,75,10.74,1618445518
Malakal,SS,9.5334,31.6605,83.3,11,2,5.66,1618445518
Vitim,RU,59.4511,112.5578,27.61,94,100,2.46,1618445518
Tessalit,ML,20.1986,1.0114,88.27,8,18,8.75,1618445519
Bayan,CN,46.0833,127.4,44.37,25,8,4.41,1618445519
Aktau,KZ,43.65,51.2,50.0,87,75,11.18,1618445519
Manacapuru,BR,-3.2997,-60.6206,77.0,94,20,4.61,1618445520
Kaeo,NZ,-35.1,173.7833,72.0,67,5,10.0,1618445520
Dahuk,IQ,36.8695,42.994,49.69,54,3,3.29,1618445520
East London,ZA,-33.0153,27.9116,69.31,78,70,5.35,1618445225
Shihezi,CN,44.3,86.0333,49.91,30,0,7.52,1618445521
Carnarvon,AU,-24.8667,113.6333,74.57,44,0,19.26,1618445521
Amahai,ID,-3.3333,128.9167,82.62,69,78,3.2,1618445522
Hasaki,JP,35.7333,140.8333,51.8,43,20,17.27,1618445522
Shelburne,CA,44.0787,-80.2041,48.0,59,94,8.52,1618445523
Bodmin,GB,50.4715,-4.7243,42.8,87,37,4.61,1618445523
Churapcha,RU,62.0025,132.4325,18.05,88,92,1.39,1618445523
Bundaberg,AU,-24.85,152.35,77.0,50,0,8.05,1618445524
De Aar,ZA,-30.6497,24.0123,70.61,26,74,6.71,1618445524
Swan River,CA,52.1058,-101.2676,32.0,64,98,3.44,1618445524
Ca Mau,VN,9.1769,105.15,80.87,78,47,1.34,1618445525
Baie-Comeau,CA,49.2168,-68.1489,41.0,81,1,3.44,1618445311
Muleba,TZ,-1.8397,31.6544,66.16,83,100,4.34,1618445525
Paita,PE,-5.0892,-81.1144,75.2,69,0,17.27,1618445525
Lata,PT,40.1629,-8.3327,61.0,93,100,2.8,1618445526
Payo,ID,-3.7508,103.6372,73.33,95,95,0.98,1618445526
Mount Isa,AU,-20.7333,139.5,86.0,32,0,11.5,1618445527
Diamantino,BR,-14.4086,-56.4461,78.22,69,93,2.95,1618445431
San Patricio,US,28.017,-97.5169,84.2,74,1,14.97,1618445527
Quisqueya,DO,18.5554,-69.4081,80.6,74,20,5.75,1618445527
Havre-St-Pierre,CA,50.2334,-63.5986,37.4,81,1,4.61,1618445528
Alterosa,BR,-21.2492,-46.1431,64.8,84,50,2.1,1618445528
Kutum,SD,14.2,24.6667,68.41,12,43,7.85,1618445529
Oranjemund,NA,-28.55,16.4333,73.56,39,0,5.32,1618445529
Penzance,GB,50.1186,-5.5371,46.0,81,40,6.91,1618445529
Donja Dubica,BA,45.075,18.4114,36.0,82,18,3.0,1618445530
Erzin,TR,36.9559,36.2,57.99,80,98,1.7,1618445530
Waipawa,NZ,-41.4122,175.5153,64.4,68,92,14.97,1618445530
Mastic Beach,US,40.7668,-72.8521,55.0,82,40,4.61,1618445531
Esperance,AU,-33.8667,121.9,55.4,100,16,6.91,1618445531
Marsh Harbour,BS,26.5412,-77.0636,71.8,62,3,12.91,1618445531
Yelizovo,RU,53.1873,158.3805,41.0,100,90,4.47,1618445470
Olafsvik,IS,64.8945,-23.7142,41.61,92,46,15.03,1618445532
Goldsboro,US,35.3849,-77.9928,73.4,60,1,10.36,1618445532
Strezhevoy,RU,60.7333,77.5889,39.2,81,0,13.42,1618445533
Nouadhibou,MR,20.931,-17.0347,66.2,94,75,18.41,1618445533
Chantada,ES,42.6088,-7.7712,48.99,100,43,10.0,1618445533
Aklavik,CA,68.2191,-135.0107,30.2,55,90,4.61,1618445520
Tuatapere,NZ,-46.1333,167.6833,60.01,77,58,3.0,1618445534
Cedar City,US,37.6775,-113.0619,57.2,18,40,21.85,1618445348
Dunedin,NZ,-45.8742,170.5036,61.0,72,100,5.01,1618445534
Westport,US,41.1415,-73.3579,57.99,87,75,12.66,1618445474
The Valley,AI,18.217,-63.0578,80.6,78,20,9.22,1618445535
Beloha,MG,-25.1667,45.05,70.77,97,7,5.08,1618445535
Srandakan,ID,-7.9386,110.2506,77.74,84,82,3.15,1618445535
Olavarría,AR,-36.8927,-60.3225,56.71,88,0,7.56,1618445536
Cidreira,BR,-30.1811,-50.2056,71.64,68,38,18.32,1618445536
Fukuechō,JP,32.6881,128.8419,57.2,58,75,6.91,1618445536
Arica,CL,-18.475,-70.3042,66.2,72,90,6.91,1618445537
Dondo,MZ,-19.6094,34.7431,75.2,83,0,2.95,1618445537
Segezha,RU,63.7415,34.3222,29.07,87,7,6.76,1618445537
Asău,RO,46.4333,26.4,39.0,66,100,3.38,1618445538
Bonthe,SL,7.5264,-12.505,79.12,85,61,4.47,1618445538
Maunabo,PR,18.0072,-65.8993,78.01,81,74,5.99,1618445539
Nyurba,RU,63.2842,118.3319,21.92,91,95,1.66,1618445539
Chuzhou,CN,32.3219,118.2978,55.0,68,91,8.77,1618445539
Cayenne,GF,4.9333,-52.3333,82.0,89,75,2.3,1618445537
Hueytamalco,MX,19.95,-97.2667,76.77,70,80,6.51,1618445540
Tayu,ID,-6.5397,111.0518,76.98,86,97,5.21,1618445359
Bairiki Village,KI,1.3292,172.9752,86.0,70,20,10.36,1618445540
Qaqortoq,GL,60.7167,-46.0333,33.8,75,40,2.3,1618445530
Portland,US,45.5234,-122.6762,70.0,18,20,4.61,1618445153
Ciudad del Carmen,MX,18.6333,-91.8333,96.8,41,75,6.91,1618445427
De Panne,BE,51.0792,2.5917,41.0,75,27,6.91,1618445541
Olinda,BR,-8.0089,-34.8553,80.6,74,75,5.75,1618445541
Dăneşti,RO,46.5167,25.75,39.0,66,100,4.16,1618445542
Santa Cruz de la Sierra,BO,-17.8,-63.1667,76.82,59,45,3.96,1618445542
Marystown,CA,47.1666,-55.1483,35.46,82,94,16.08,1618445542
Verāval,IN,20.9,70.3667,78.06,63,3,10.74,1618445543
Los Llanos de Aridane,ES,28.6585,-17.9182,66.2,72,0,3.44,1618445543
Arman',RU,59.7,150.1667,24.31,73,100,12.19,1618445543
Verkhnyaya Inta,RU,65.9811,60.3094,32.13,97,100,17.13,1618445544
Yarim,YE,14.298,44.3779,55.45,80,3,1.97,1618445544
Lundazi,ZM,-12.2929,33.1782,59.05,93,63,6.44,1618445544
Noumea,NC,-22.2763,166.4572,78.01,83,75,11.5,1618445545
Laguna,US,38.421,-121.4238,75.0,16,1,6.91,1618445530
São Miguel do Araguaia,BR,-13.275,-50.1628,73.22,87,88,5.59,1618445545
Waingapu,ID,-9.6567,120.2641,79.23,72,10,3.67,1618445546
Petropavlovka,RU,50.6114,105.3196,28.85,58,34,3.8,1618445532
Sühbaatar,MN,50.2314,106.2078,30.79,48,21,4.94,1618445546
Härnösand,SE,62.6323,17.9379,28.4,93,6,2.3,1618445547
São Filipe,CV,14.8961,-24.4956,76.8,58,36,16.44,1618445547
Jiwani,PK,25.05,61.7417,78.93,78,32,5.46,1618445547
Omboué,GA,-1.5746,9.2618,76.39,91,100,2.37,1618445548
Evora,PT,38.5667,-7.9,59.0,94,90,9.22,1618445481
Española,US,35.9911,-106.0806,64.99,4,1,12.66,1618445548
Goražde,BA,43.6669,18.9764,37.4,81,75,5.75,1618445549
Kholodnyy,RU,62.7167,147.95,6.06,74,100,3.18,1618445549
Senneterre,CA,48.3835,-77.2328,53.6,43,40,6.91,1618445550
Fortuna,US,40.5982,-124.1573,62.01,58,1,16.11,1618445550
Bodden Town,KY,19.2833,-81.25,82.4,51,20,13.8,1618445550
Kulhudhuffushi,MV,6.6221,73.07,83.25,68,62,3.47,1618445552
Champerico,GT,14.3,-91.9167,87.8,62,75,6.91,1618445552
Spring Hill,US,28.4769,-82.5255,75.2,53,75,8.05,1618445539
Mezen',RU,65.8522,44.24,31.1,77,20,12.24,1618445553
Dingle,PH,10.9995,122.6711,81.46,76,100,6.22,1618445554
Tiksi,RU,71.6872,128.8694,10.09,93,92,0.89,1618445554
Kozhevnikovo,RU,56.2589,83.9714,34.0,83,100,1.39,1618445555
Atambua,ID,-9.1061,124.8925,76.1,66,27,3.13,1618445555
Krasnogorskiy,RU,54.6025,61.231,43.38,72,12,8.41,1618445556
Eten,PE,-6.9081,-79.8642,71.6,68,90,16.11,1618445556
Pimentel,PE,-6.8367,-79.9342,71.6,68,90,16.11,1618445557
Necochea,AR,-38.5473,-58.7368,61.0,80,0,3.0,1618445557
Glace Bay,CA,46.1969,-59.957,35.01,86,75,13.8,1618445557
Flin Flon,CA,54.7682,-101.865,42.8,19,20,4.61,1618445558
Monaragala,LK,6.8714,81.3487,73.18,91,94,3.2,1618445558
Mafinga,TZ,-7.25,35.0667,65.73,97,100,2.89,1618445559
Lucea,JM,18.451,-78.1736,80.6,61,20,13.8,1618445559
Kaseda-shirakame,JP,31.4167,130.3167,48.2,76,0,4.61,1618445560
Burnie,AU,-41.0667,145.9167,55.17,80,94,18.3,1618445560
Alice Springs,AU,-23.7,133.8833,69.01,52,0,8.05,1618445397
Hofn,IS,64.2539,-15.2082,43.34,87,50,9.71,1618445560
Santa Rosa,PH,14.3122,121.1114,84.0,74,20,5.44,1618445561
Chui,UY,-33.6971,-53.4616,62.26,83,0,8.21,1618445518
Muzhi,RU,65.3667,64.6667,36.95,74,100,22.66,1618445561
Uchiza,PE,-8.4592,-76.4633,71.55,98,98,2.8,1618445562
